timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2025-05-11 00:00:00,2025-05-11 01:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,bitcoin,104710.18767116882,104710.18767116882,104710.18767116882,104710.18767116882,21475049754.921352,2078852808839.0935,2025-05-11 00:00:00
2025-05-11 01:00:00,2025-05-11 02:00:00,2025-05-11 01:00:00,2025-05-11 01:00:00,bitcoin,104407.56428821298,104407.56428821298,104407.56428821298,104407.56428821298,22483142917.87015,2073781852604.5327,2025-05-11 01:00:00
2025-05-11 02:00:00,2025-05-11 03:00:00,2025-05-11 02:00:00,2025-05-11 02:00:00,bitcoin,104032.49982304672,104032.49982304672,104032.49982304672,104032.49982304672,23567255771.433376,2067704913540.7715,2025-05-11 02:00:00
2025-05-11 03:00:00,2025-05-11 04:00:00,2025-05-11 03:00:00,2025-05-11 03:00:00,bitcoin,103754.34752451746,103754.34752451746,103754.34752451746,103754.34752451746,25337808420.439396,2060800317012.807,2025-05-11 03:00:00
2025-05-11 04:00:00,2025-05-11 05:00:00,2025-05-11 04:00:00,2025-05-11 04:00:00,bitcoin,104056.37170558948,104056.37170558948,104056.37170558948,104056.37170558948,26067073564.171383,2067400578176.6895,2025-05-11 04:00:00
2025-05-11 05:00:00,2025-05-11 06:00:00,2025-05-11 05:00:00,2025-05-11 05:00:00,bitcoin,104155.90999828055,104155.90999828055,104155.90999828055,104155.90999828055,26004168659.992092,2068845959576.6528,2025-05-11 05:00:00
2025-05-11 06:00:00,2025-05-11 07:00:00,2025-05-11 06:00:00,2025-05-11 06:00:00,bitcoin,103870.8841579018,103870.8841579018,103870.8841579018,103870.8841579018,26111592753.69092,2063370308133.4604,2025-05-11 06:00:00
2025-05-11 07:00:00,2025-05-11 08:00:00,2025-05-11 07:00:00,2025-05-11 07:00:00,bitcoin,103829.80918775442,103829.80918775442,103829.80918775442,103829.80918775442,25083296824.169827,2061193614592.674,2025-05-11 07:00:00
2025-05-11 08:00:00,2025-05-11 09:00:00,2025-05-11 08:00:00,2025-05-11 08:00:00,bitcoin,103593.91838549759,103593.91838549759,103593.91838549759,103593.91838549759,26237506060.56774,2056100564654.356,2025-05-11 08:00:00
2025-05-11 09:00:00,2025-05-11 10:00:00,2025-05-11 09:00:00,2025-05-11 09:00:00,bitcoin,103851.88885800124,103851.88885800124,103851.88885800124,103851.88885800124,25748539198.195953,2062567454943.7546,2025-05-11 09:00:00
