timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
2025-05-11 12:00:00,2025-05-11 13:00:00,2025-05-11 12:00:00,2025-05-11 12:00:00,solana,174.63414421221805,174.63414421221805,174.63414421221805,174.63414421221805,5382758907.103645,90691389480.54863,2025-05-11 12:00:00
2025-05-11 13:00:00,2025-05-11 14:00:00,2025-05-11 13:00:00,2025-05-11 13:00:00,solana,174.06389552673087,174.06389552673087,174.06389552673087,174.06389552673087,5028736778.310178,90392273228.76102,2025-05-11 13:00:00
2025-05-11 14:00:00,2025-05-11 15:00:00,2025-05-11 14:00:00,2025-05-11 14:00:00,solana,171.73016421398054,171.73016421398054,171.73016421398054,171.73016421398054,5399957587.262016,89211862361.43143,2025-05-11 14:00:00
2025-05-11 15:00:00,2025-05-11 16:00:00,2025-05-11 15:00:00,2025-05-11 15:00:00,solana,172.04313089148405,172.04313089148405,172.04313089148405,172.04313089148405,5459617161.546313,89281580984.78415,2025-05-11 15:00:00
2025-05-11 16:00:00,2025-05-11 17:00:00,2025-05-11 16:00:00,2025-05-11 16:00:00,solana,170.57361097724603,170.57361097724603,170.57361097724603,170.57361097724603,5535252446.582474,88578637883.31525,2025-05-11 16:00:00
2025-05-11 17:00:00,2025-05-11 18:00:00,2025-05-11 17:00:00,2025-05-11 17:00:00,solana,170.68932839656634,170.68932839656634,170.68932839656634,170.68932839656634,5582096370.735135,88642706040.36972,2025-05-11 17:00:00
2025-05-11 18:00:00,2025-05-11 19:00:00,2025-05-11 18:00:00,2025-05-11 18:00:00,solana,171.79965460828282,171.79965460828282,171.79965460828282,171.79965460828282,5448777244.899018,89195638964.05557,2025-05-11 18:00:00
2025-05-11 19:00:00,2025-05-11 20:00:00,2025-05-11 19:00:00,2025-05-11 19:00:00,solana,172.8760903712811,172.8760903712811,172.8760903712811,172.8760903712811,5483565219.753972,89833059333.68906,2025-05-11 19:00:00
2025-05-11 20:00:00,2025-05-11 21:00:00,2025-05-11 20:00:00,2025-05-11 20:00:00,solana,172.85798314560887,172.85798314560887,172.85798314560887,172.85798314560887,5456786738.881961,89771542064.09732,2025-05-11 20:00:00
2025-05-11 21:00:00,2025-05-11 22:00:00,2025-05-11 21:00:00,2025-05-11 21:00:00,solana,172.36140094649838,172.36140094649838,172.36140094649838,172.36140094649838,5419925852.428414,89507313133.46474,2025-05-11 21:00:00
2025-05-11 22:00:00,2025-05-11 23:00:00,2025-05-11 22:00:00,2025-05-11 22:00:00,solana,173.06070281869253,173.06070281869253,173.06070281869253,173.06070281869253,5328698948.709406,89959744453.53627,2025-05-11 22:00:00
2025-05-11 23:00:00,2025-05-12 00:00:00,2025-05-11 23:00:00,2025-05-11 23:00:00,solana,171.94095909604508,171.94095909604508,171.94095909604508,171.94095909604508,5205707610.583107,89292659526.58844,2025-05-11 23:00:00
2025-05-12 00:00:00,2025-05-12 01:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,solana,173.01949322534722,173.01949322534722,173.01949322534722,173.01949322534722,4710299142.926565,89794299998.24785,2025-05-12 00:00:00
2025-05-12 01:00:00,2025-05-12 02:00:00,2025-05-12 01:00:00,2025-05-12 01:00:00,solana,174.79468086037608,174.79468086037608,174.79468086037608,174.79468086037608,4191865418.5282755,90700653735.92194,2025-05-12 01:00:00
